z0_ft,n,mean_squared_error_log,alpha,beta,gamma_m,free_fraction
2.08000,266322,0.0005271274,1.000585,0.508760,25.558006,0.000008
2.08500,266322,0.0005271272,1.000585,0.508760,25.558004,0.000008
2.09000,266322,0.0005271270,1.000585,0.508759,25.558003,0.000008
2.09500,266322,0.0005271269,1.000585,0.508759,25.558001,0.000008
2.10000,266322,0.0005271269,1.000585,0.508759,25.557999,0.000011
2.10500,266322,0.0005271268,1.000585,0.508758,25.557997,0.000011
2.11000,266322,0.0005271268,1.000585,0.508758,25.557994,0.000011
2.11500,266322,0.0005271269,1.000585,0.508757,25.557992,0.000011
2.12000,266322,0.0005271271,1.000585,0.508757,25.557989,0.000015
2.12500,266322,0.0005271272,1.000585,0.508756,25.557986,0.000015
2.13000,266322,0.0005271275,1.000585,0.508755,25.557982,0.000015
2.13500,266322,0.0005271278,1.000585,0.508754,25.557978,0.000015
2.14000,266322,0.0005271283,1.000585,0.508754,25.557974,0.000023
2.14500,266322,0.0005271287,1.000585,0.508753,25.557970,0.000023
2.15000,266322,0.0005271292,1.000584,0.508752,25.557965,0.000023
2.15500,266322,0.0005271299,1.000584,0.508751,25.557960,0.000023
2.16000,266322,0.0005271308,1.000584,0.508750,25.557955,0.000023
2.16500,266322,0.0005271319,1.000584,0.508749,25.557950,0.000023
2.17000,266322,0.0005271331,1.000584,0.508748,25.557945,0.000026
2.17500,266322,0.0005271345,1.000584,0.508747,25.557938,0.000026
2.18000,266322,0.0005271361,1.000584,0.508745,25.557932,0.000030
2.18500,266322,0.0005271377,1.000584,0.508744,25.557925,0.000030
2.19000,266322,0.0005271396,1.000583,0.508742,25.557917,0.000034
2.19500,266322,0.0005271417,1.000583,0.508741,25.557909,0.000034
2.20000,266322,0.0005271440,1.000583,0.508739,25.557901,0.000038
2.20500,266322,0.0005271465,1.000583,0.508738,25.557892,0.000038
2.21000,266322,0.0005271493,1.000583,0.508736,25.557883,0.000038
2.21500,266322,0.0005271522,1.000583,0.508734,25.557873,0.000041
2.22000,266322,0.0005271555,1.000582,0.508732,25.557862,0.000053
2.22500,266322,0.0005271587,1.000582,0.508729,25.557850,0.000053
2.23000,266322,0.0005271623,1.000582,0.508727,25.557837,0.000056
2.23500,266322,0.0005271662,1.000582,0.508724,25.557823,0.000056
2.24000,266322,0.0005271707,1.000581,0.508721,25.557809,0.000056
2.24500,266322,0.0005271754,1.000581,0.508719,25.557794,0.000060
2.25000,266322,0.0005271807,1.000581,0.508716,25.557779,0.000071
2.25500,266322,0.0005271861,1.000580,0.508712,25.557761,0.000071
2.26000,266322,0.0005271921,1.000580,0.508709,25.557743,0.000075
2.26500,266322,0.0005271986,1.000580,0.508705,25.557723,0.000075
2.27000,266322,0.0005272058,1.000579,0.508701,25.557703,0.000090
2.27500,266322,0.0005272128,1.000579,0.508697,25.557679,0.000090
2.28000,266322,0.0005272208,1.000578,0.508692,25.557654,0.000109
2.28500,266322,0.0005272283,1.000578,0.508686,25.557623,0.000113
2.29000,266322,0.0005272370,1.000577,0.508680,25.557591,0.000143
2.29500,266322,0.0005272449,1.000576,0.508672,25.557547,0.000146
2.30000,266322,0.0005272544,1.000575,0.508664,25.557503,0.000195
2.30500,266322,0.0005272627,1.000574,0.508653,25.557443,0.000195
2.31000,266322,0.0005272732,1.000573,0.508642,25.557381,0.000218
2.31500,266322,0.0005272844,1.000571,0.508629,25.557311,0.000218
2.32000,266322,0.0005272980,1.000570,0.508616,25.557238,0.000248
2.32500,266322,0.0005273120,1.000568,0.508600,25.557154,0.000255
2.33000,266322,0.0005273288,1.000566,0.508585,25.557067,0.000267
2.33500,266322,0.0005273478,1.000564,0.508568,25.556976,0.000267
2.34000,266322,0.0005273698,1.000562,0.508552,25.556882,0.000282
2.34500,266322,0.0005273940,1.000560,0.508534,25.556784,0.000282
2.35000,266322,0.0005274213,1.000558,0.508516,25.556683,0.000323
2.35500,266322,0.0005274498,1.000556,0.508497,25.556573,0.000323
